provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH TENGGARA,Babussalam,Kota Kutacane
ACEH,KAB. ACEH TENGGARA,Babussalam,Perapat Hilir
ACEH,KAB. ACEH TENGGARA,Babussalam,Perapat Hulu
ACEH,KAB. ACEH TENGGARA,Babussalam,Muara Lawe Bulan
ACEH,KAB. ACEH TENGGARA,Babussalam,Mbarung
ACEH,KAB. ACEH TENGGARA,Babussalam,Batu Mbulan Asli
ACEH,KAB. ACEH TENGGARA,Babussalam,Batu Mbulan I
ACEH,KAB. ACEH TENGGARA,Babussalam,Batu Mbulan II
ACEH,KAB. ACEH TENGGARA,Babussalam,Kampung Raja
ACEH,KAB. ACEH TENGGARA,Babussalam,Pulonas
ACEH,KAB. ACEH TENGGARA,Babussalam,Kampung Melayu Gabungan
ACEH,KAB. ACEH TENGGARA,Babussalam,Terutung Pedi
ACEH,KAB. ACEH TENGGARA,Babussalam,Kute Rih
ACEH,KAB. ACEH TENGGARA,Babussalam,Gumpang Jaya
ACEH,KAB. ACEH TENGGARA,Babussalam,Pulo Latong
ACEH,KAB. ACEH TENGGARA,Babussalam,Kutacane Lama
ACEH,KAB. ACEH TENGGARA,Babussalam,Batu Mbulan Mbaru
ACEH,KAB. ACEH TENGGARA,Babussalam,Pulo Peding
ACEH,KAB. ACEH TENGGARA,Babussalam,Mendabe
ACEH,KAB. ACEH TENGGARA,Babussalam,Ujung Barat
ACEH,KAB. ACEH TENGGARA,Babussalam,Pekhapat Titi Panjang
ACEH,KAB. ACEH TENGGARA,Babussalam,Pekhapat Sepakat
ACEH,KAB. ACEH TENGGARA,Babussalam,Alas Marancar
ACEH,KAB. ACEH TENGGARA,Babussalam,Batu Mbulan Sepakat
ACEH,KAB. ACEH TENGGARA,Babussalam,Pulo Sanggakh
ACEH,KAB. ACEH TENGGARA,Babussalam,Melayu I
